일반대출,10000000,5.500000,24,10
주택대출,250000000,3.750000,24,9
자동차대출,20000000,4.250000,24,8
개인대출,15000000,6.000000,20,2
교육대출,30000000,4.500000,22,9
사업대출,50000000,4.750000,24,10
휴가대출,8000000,7.250000,18,3
리모델링대출,35000000,5.000000,24,8
의료대출,12000000,6.500000,24,5
결혼대출,20000000,8.000000,20,2
개인대출,18000000,5.750000,24,3
학자금대출,25000000,4.000000,22,9
기업대출,45000000,4.800000,24,11
휴가대출,7500000,7.000000,18,6
자동차대출,22000000,4.000000,24,10
주택대출,300000000,3.500000,24,12
결혼대출,30000000,7.500000,20,5
의료대출,14000000,6.250000,24,2
리모델링대출,40000000,5.250000,24,3
자동차대출,18500000,4.300000,24,2
